Year,URBANISATION,AREA,Series,Value
2010,Rural,Tubas & Northern Valleys,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2011,Rural,Tubas & Northern Valleys,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,Rural,Tubas & Northern Valleys,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,Rural,Tubas & Northern Valleys,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,Rural,Tubas & Northern Valleys,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2015,Rural,Tubas & Northern Valleys,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,Rural,Tubas & Northern Valleys,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2019,Rural,Tubas & Northern Valleys,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,Rural,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,Rural,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,Rural,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,Rural,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,Rural,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,Rural,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,Rural,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2008,Rural,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,Rural,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,Rural,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2011,Rural,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,Rural,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,Rural,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,Rural,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2015,Rural,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,Rural,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2019,Rural,Tulkarm,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,Rural,Nablus,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,Rural,Nablus,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,Rural,Nablus,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,Rural,Nablus,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,Rural,Nablus,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,Rural,Nablus,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,Rural,Nablus,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2008,Rural,Nablus,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,Rural,Nablus,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,Rural,Nablus,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2011,Rural,Nablus,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,Rural,Nablus,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,Rural,Nablus,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,Rural,Nablus,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2015,Rural,Nablus,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,Rural,Nablus,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2019,Rural,Nablus,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,Rural,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,Rural,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,Rural,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,Rural,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,Rural,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,Rural,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,Rural,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2008,Rural,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,Rural,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,Rural,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2011,Rural,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,Rural,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,Rural,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,Rural,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2015,Rural,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,Rural,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2019,Rural,Qalqiliya,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,Rural,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,Rural,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,Rural,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,Rural,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,Rural,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,Rural,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,Rural,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2008,Rural,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,Rural,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,Rural,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2011,Rural,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,Rural,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,Rural,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,Rural,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2015,Rural,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,Rural,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2019,Rural,Salfit,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,Rural,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,Rural,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,Rural,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,Rural,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,Rural,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,Rural,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,Rural,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2008,Rural,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,Rural,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,Rural,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2011,Rural,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,Rural,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,Rural,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,Rural,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2015,Rural,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,Rural,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2019,Rural,Ramallah & Al-Bireh,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,Rural,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,Rural,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,Rural,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,Rural,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,Rural,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,Rural,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,Rural,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2008,Rural,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,Rural,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,Rural,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2011,Rural,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,Rural,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,Rural,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,Rural,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2015,Rural,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,Rural,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2019,Rural,Jericho & AL Aghwar,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,Rural,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,Rural,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,Rural,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,Rural,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,Rural,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,Rural,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,Rural,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2008,Rural,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,Rural,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,Rural,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2011,Rural,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,Rural,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,Rural,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,Rural,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2015,Rural,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,Rural,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2019,Rural,Jerusalem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,Rural,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,Rural,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,Rural,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,Rural,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,Rural,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,Rural,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,Rural,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2008,Rural,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,Rural,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,Rural,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2011,Rural,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,Rural,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,Rural,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,Rural,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2015,Rural,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,Rural,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2019,Rural,Bethlehem,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,Rural,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,Rural,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,Rural,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,Rural,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,Rural,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,Rural,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,Rural,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2008,Rural,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,Rural,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,Rural,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2011,Rural,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,Rural,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,Rural,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,Rural,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2015,Rural,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,Rural,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2019,Rural,Hebron,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,Rural,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,Rural,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,Rural,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,Rural,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,Rural,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,Rural,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,Rural,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2008,Rural,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,Rural,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,Rural,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2011,Rural,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,Rural,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,Rural,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,Rural,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2015,Rural,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,Rural,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2019,Rural,North Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,Rural,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,Rural,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,Rural,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,Rural,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,Rural,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,Rural,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,Rural,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2008,Rural,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,Rural,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,Rural,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2011,Rural,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,Rural,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,Rural,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,Rural,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2015,Rural,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,Rural,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2019,Rural,Gaza,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,Rural,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,Rural,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,Rural,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,Rural,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,Rural,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,Rural,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,Rural,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2008,Rural,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,Rural,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,Rural,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2011,Rural,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,Rural,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,Rural,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,Rural,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2015,Rural,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,Rural,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2019,Rural,Dier Al-Balah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,Rural,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,Rural,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,Rural,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,Rural,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,Rural,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,Rural,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,Rural,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2008,Rural,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,Rural,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,Rural,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2011,Rural,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,Rural,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,Rural,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,Rural,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2015,Rural,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,Rural,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2019,Rural,Khan Yunis,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,Rural,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,Rural,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,Rural,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,Rural,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,Rural,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,Rural,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,Rural,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2008,Rural,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,Rural,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,Rural,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2011,Rural,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,Rural,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,Rural,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,Rural,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2015,Rural,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2017,Rural,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2019,Rural,Rafah,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2000,Camp,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2002,Camp,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2003,Camp,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2004,Camp,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2005,Camp,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2006,Camp,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2007,Camp,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2008,Camp,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2009,Camp,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2010,Camp,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2011,Camp,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2012,Camp,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2013,Camp,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2014,Camp,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
2015,Camp,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",
